关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态,配餐用途,餐内角色,食材标签,分类依据
萝卜炖牛腩,晚餐,350,一份约350g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|根菜,萝卜炖牛腩以牛腩与萝卜为主料，属畜肉蛋白质菜。
红烧牛肉,晚餐,250,一份约250g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,红烧牛肉以牛肉为主料，属畜肉蛋白质菜。
酱牛肉,加餐,100,一份约100g,炖煮,五香,待审核,组合组成项,蛋白质菜,畜肉,酱牛肉以牛肉为主料，属畜肉蛋白质菜。
卤牛肉,加餐,100,一份约100g,炖煮,五香,待审核,组合组成项,蛋白质菜,畜肉,卤牛肉以牛肉为主料，属畜肉蛋白质菜。
牛肉汤,午餐,350,一碗约350g,煮制,鲜香,待审核,组合组成项,汤羹,畜肉,牛肉汤以牛肉煮汤，属畜肉汤羹。
牛肉炒芹菜,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|花茎类,牛肉炒芹菜以牛肉与芹菜为主料，属畜肉蛋白质菜。
香菇滑鸡,晚餐,250,一份约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉|菌菇,香菇滑鸡以鸡肉与香菇为主料，属禽肉蛋白质菜。
香菇蒸鸡,晚餐,250,一份约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉|菌菇,香菇蒸鸡以鸡肉与香菇为主料，属禽肉蛋白质菜。
清蒸鸡,晚餐,300,一份约300g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,清蒸鸡以整鸡为主料，属禽肉蛋白质菜。
辣子鸡丁,晚餐,250,一份约250g,炒制,香辣,待审核,组合组成项,蛋白质菜,禽肉|瓜茄类,辣子鸡丁以鸡肉丁与辣椒为主料，属禽肉蛋白质菜。
鸡丁炒青椒,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉|瓜茄类,鸡丁炒青椒以鸡丁与青椒为主料，属禽肉蛋白质菜。
洋葱炒鸡丁,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉|根菜,洋葱炒鸡丁以鸡丁与洋葱为主料，属禽肉蛋白质菜。
土豆焖鸡,晚餐,350,一份约350g,焖制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉|薯类,土豆焖鸡以鸡肉与土豆为主料，属禽肉蛋白质菜。
板栗焖鸡,晚餐,300,一份约300g,焖制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,板栗焖鸡以鸡肉与板栗为主料，属禽肉蛋白质菜。
香菇炖鸡,晚餐,350,一份约350g,炖煮,鲜香,待审核,组合组成项,汤羹,禽肉|菌菇,香菇炖鸡以鸡肉与香菇炖汤，属禽肉汤羹。
乌鸡炖汤,晚餐,300,一碗约300g,炖煮,鲜香,待审核,组合组成项,汤羹,禽肉,乌鸡炖汤以乌鸡炖汤，属禽肉汤羹。
菠萝炒鸡,晚餐,250,一份约250g,炒制,酸甜,待审核,组合组成项,蛋白质菜,禽肉|水果,菠萝炒鸡以鸡肉与菠萝为主料，属禽肉蛋白质菜。
柠檬鸡,晚餐,250,一份约250g,炒制,酸甜,待审核,组合组成项,蛋白质菜,禽肉,柠檬鸡以鸡肉为主料，属禽肉蛋白质菜。
炸鸡块,晚餐,200,一份约200g,油炸,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,炸鸡块以鸡肉为主料，属禽肉蛋白质菜。
鸡排,晚餐,200,一份约200g,油炸,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,鸡排以鸡肉为主料，属禽肉蛋白质菜。
盐焗鸡胸肉,晚餐,150,一份约150g,烤制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,盐焗鸡胸肉以鸡胸肉为主料，属禽肉蛋白质菜。
煎鸡胸肉,晚餐,150,一份约150g,煎制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,煎鸡胸肉以鸡胸肉为主料，属禽肉蛋白质菜。
水煮鸡胸肉,晚餐,150,一份约150g,煮制,原味,待审核,组合组成项,蛋白质菜,禽肉,水煮鸡胸肉以鸡胸肉为主料，属禽肉蛋白质菜。
照烧鸡腿,晚餐,250,一份约250g,烤制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,照烧鸡腿以鸡腿为主料，属禽肉蛋白质菜。
奥尔良烤翅,加餐,150,一份约150g,烤制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,奥尔良烤翅以鸡翅为主料，属禽肉蛋白质菜。
红烧鸡翅,晚餐,250,一份约250g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,红烧鸡翅以鸡翅为主料，属禽肉蛋白质菜。
卤鸡翅,加餐,200,一份约200g,炖煮,五香,待审核,组合组成项,蛋白质菜,禽肉,卤鸡翅以鸡翅为主料，属禽肉蛋白质菜。
蒜蓉蒸虾,晚餐,250,一份约250g,蒸制,蒜香,待审核,组合组成项,蛋白质菜,虾蟹贝类,蒜蓉蒸虾以虾为主料，属虾蟹贝蛋白质菜。
茄汁虾,晚餐,250,一份约250g,炒制,酸甜,待审核,组合组成项,蛋白质菜,虾蟹贝类|瓜茄类,茄汁虾以虾与番茄汁为主料，属虾蟹贝蛋白质菜。
炒虾仁,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,虾蟹贝类,炒虾仁以虾仁为主料，属虾蟹贝蛋白质菜。
西芹炒虾仁,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,虾蟹贝类|花茎类,西芹炒虾仁以虾仁与西芹为主料，属虾蟹贝蛋白质菜。
黄瓜炒虾仁,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,虾蟹贝类|瓜茄类,黄瓜炒虾仁以虾仁与黄瓜为主料，属虾蟹贝蛋白质菜。
虾仁豆腐,晚餐,250,一份约250g,煮制,咸鲜,待审核,组合组成项,蛋白质菜,虾蟹贝类|大豆及豆制品,虾仁豆腐以虾仁与豆腐为主料，属蛋白质菜。
红烧豆腐,晚餐,250,一份约250g,焖制,咸鲜,待审核,组合组成项,蛋白质菜,大豆及豆制品,红烧豆腐以豆腐为主料，属植物蛋白蛋白质菜。
红烧冻豆腐,晚餐,250,一份约250g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,大豆及豆制品,红烧冻豆腐以冻豆腐为主料，属植物蛋白蛋白质菜。
砂锅豆腐,晚餐,300,一份约300g,炖煮,鲜香,待审核,组合组成项,汤羹,大豆及豆制品,砂锅豆腐以豆腐炖汤，属豆制品汤羹。
小葱拌豆腐,加餐,150,一份约150g,凉拌,咸鲜,待审核,组合组成项,蔬菜菜肴,大豆及豆制品|叶菜,小葱拌豆腐以豆腐与小葱为主料，属豆制品配菜。
皮蛋豆腐,加餐,150,一份约150g,凉拌,咸鲜,待审核,组合组成项,蛋白质菜,大豆及豆制品|蛋类,皮蛋豆腐以豆腐与皮蛋为主料，属蛋白质菜。
香椿拌豆腐,加餐,150,一份约150g,凉拌,咸鲜,待审核,组合组成项,蔬菜菜肴,大豆及豆制品|叶菜,香椿拌豆腐以豆腐与香椿为主料，属豆制品配菜。
香干炒芹菜,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,大豆及豆制品|花茎类,香干炒芹菜以香干与芹菜为主料，属豆制品蔬菜配菜。
香干炒韭菜,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,大豆及豆制品|花茎类,香干炒韭菜以香干与韭菜为主料，属豆制品蔬菜配菜。
青椒炒豆干,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,大豆及豆制品|瓜茄类,青椒炒豆干以豆干与青椒为主料，属豆制品蔬菜配菜。
豆芽炒韭菜,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,其他谷物|花茎类,豆芽炒韭菜以豆芽与韭菜为主料，属蔬菜配菜。
韭菜炒鸡蛋,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,花茎类|蛋类,韭菜炒鸡蛋以韭菜与鸡蛋为主料，属蛋菜蛋白质菜。
葱花炒蛋,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,蛋类,葱花炒蛋以鸡蛋与葱为主料，属蛋类蛋白质菜。
菠菜炒鸡蛋,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,叶菜|蛋类,菠菜炒鸡蛋以菠菜与鸡蛋为主料，属蛋菜蛋白质菜。
银鱼炒鸡蛋,晚餐,200,一份约200g,炒制,鲜香,待审核,组合组成项,蛋白质菜,鱼类|蛋类,银鱼炒鸡蛋以银鱼与鸡蛋为主料，属鱼蛋蛋白质菜。
蛤蜊蒸蛋,晚餐,200,一份约200g,蒸制,鲜香,待审核,组合组成项,蛋白质菜,虾蟹贝类|蛋类,蛤蜊蒸蛋以蛤蜊与鸡蛋为主料，属贝蛋蛋白质菜。
生蚝煎蛋,晚餐,200,一份约200g,煎制,鲜香,待审核,组合组成项,蛋白质菜,虾蟹贝类|蛋类,生蚝煎蛋以生蚝与鸡蛋为主料，属贝蛋蛋白质菜。
白灼花螺,加餐,200,一份约200g,煮制,咸鲜,待审核,组合组成项,蛋白质菜,虾蟹贝类,白灼花螺以花螺为主料，属虾蟹贝蛋白质菜。
爆炒花蛤,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,虾蟹贝类,爆炒花蛤以花蛤为主料，属虾蟹贝蛋白质菜。
辣炒花蛤,晚餐,250,一份约250g,炒制,香辣,待审核,组合组成项,蛋白质菜,虾蟹贝类,辣炒花蛤以花蛤为主料，属虾蟹贝蛋白质菜。
蒜蓉蒸生蚝,晚餐,200,一份约200g,蒸制,蒜香,待审核,组合组成项,蛋白质菜,虾蟹贝类,蒜蓉蒸生蚝以生蚝为主料，属虾蟹贝蛋白质菜。
清蒸扇贝,晚餐,200,一份约200g,蒸制,鲜香,待审核,组合组成项,蛋白质菜,虾蟹贝类,清蒸扇贝以扇贝为主料，属虾蟹贝蛋白质菜。
椒盐皮皮虾,晚餐,250,一份约250g,油炸,咸鲜,待审核,组合组成项,蛋白质菜,虾蟹贝类,椒盐皮皮虾以皮皮虾为主料，属虾蟹贝蛋白质菜。
清蒸梭子蟹,晚餐,250,一只约250g,蒸制,鲜香,待审核,组合组成项,蛋白质菜,虾蟹贝类,清蒸梭子蟹以蟹为主料，属虾蟹贝蛋白质菜。
香辣蟹,晚餐,300,一份约300g,炒制,香辣,待审核,组合组成项,蛋白质菜,虾蟹贝类,香辣蟹以蟹为主料，属虾蟹贝蛋白质菜。
清蒸石斑,晚餐,300,一份约300g,蒸制,鲜香,待审核,组合组成项,蛋白质菜,鱼类,清蒸石斑以石斑鱼为主料，属鱼类蛋白质菜。
清蒸多宝鱼,晚餐,300,一份约300g,蒸制,鲜香,待审核,组合组成项,蛋白质菜,鱼类,清蒸多宝鱼以多宝鱼为主料，属鱼类蛋白质菜。
香煎三文鱼,晚餐,200,一份约200g,煎制,咸鲜,待审核,组合组成项,蛋白质菜,鱼类,香煎三文鱼以三文鱼为主料，属鱼类蛋白质菜。
三文鱼刺身,加餐,100,一份约100g,生食,原味,待审核,组合组成项,蛋白质菜,鱼类,三文鱼刺身以三文鱼为主料，属鱼类蛋白质菜。
爆炒鱿鱼须,晚餐,200,一份约200g,炒制,香辣,待审核,组合组成项,蛋白质菜,虾蟹贝类,爆炒鱿鱼须以鱿鱼须为主料，属虾蟹贝蛋白质菜。
铁板鱿鱼,加餐,200,一份约200g,烤制,咸鲜,待审核,组合组成项,蛋白质菜,虾蟹贝类,铁板鱿鱼以鱿鱼为主料，属虾蟹贝蛋白质菜。
蒸水蛋,晚餐,150,一份约150g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,蛋类,蒸水蛋以鸡蛋为主料，属蛋类蛋白质菜。
煎蛋,早餐,100,两个约100g,煎制,原味,待审核,组合组成项,蛋白质菜,蛋类,煎蛋以鸡蛋为主料，属蛋类蛋白质菜。
蒸蛋羹,早餐,150,一份约150g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,蛋类,蒸蛋羹以鸡蛋为主料，属蛋类蛋白质菜。
茶叶鹌鹑蛋,加餐,100,一份约100g,煮制,五香,待审核,组合组成项,蛋白质菜,蛋类,茶叶鹌鹑蛋以鹌鹑蛋为主料，属蛋类蛋白质菜。
卤鹌鹑蛋,加餐,100,一份约100g,煮制,五香,待审核,组合组成项,蛋白质菜,蛋类,卤鹌鹑蛋以鹌鹑蛋为主料，属蛋类蛋白质菜。
清炒上海青,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,叶菜,清炒上海青以上海青为主料，属叶菜蔬菜菜肴。
清炒小白菜,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,叶菜,清炒小白菜以小白菜为主料，属叶菜蔬菜菜肴。
清炒油菜,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,叶菜,清炒油菜以油菜为主料，属叶菜蔬菜菜肴。
清炒菠菜,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,叶菜,清炒菠菜以菠菜为主料，属叶菜蔬菜菜肴。
清炒茼蒿,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,叶菜,清炒茼蒿以茼蒿为主料，属叶菜蔬菜菜肴。
清炒空心菜,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,叶菜,清炒空心菜以空心菜为主料，属叶菜蔬菜菜肴。
清炒油麦菜,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,叶菜,清炒油麦菜以油麦菜为主料，属叶菜蔬菜菜肴。
清炒生菜,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,叶菜,清炒生菜以生菜为主料，属叶菜蔬菜菜肴。
清炒芥兰,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,叶菜,清炒芥兰以芥兰为主料，属叶菜蔬菜菜肴。
清炒菜心,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,叶菜,清炒菜心以菜心为主料，属叶菜蔬菜菜肴。
蒜蓉炒菠菜,晚餐,200,一份约200g,炒制,蒜香,待审核,组合组成项,蔬菜菜肴,叶菜,蒜蓉炒菠菜以菠菜为主料，属叶菜蔬菜菜肴。
蒜蓉炒生菜,晚餐,200,一份约200g,炒制,蒜香,待审核,组合组成项,蔬菜菜肴,叶菜,蒜蓉炒生菜以生菜为主料，属叶菜蔬菜菜肴。
蒜蓉炒油麦菜,晚餐,200,一份约200g,炒制,蒜香,待审核,组合组成项,蔬菜菜肴,叶菜,蒜蓉炒油麦菜以油麦菜为主料，属叶菜蔬菜菜肴。
蒜蓉炒菜心,晚餐,200,一份约200g,炒制,蒜香,待审核,组合组成项,蔬菜菜肴,叶菜,蒜蓉炒菜心以菜心为主料，属叶菜蔬菜菜肴。
蒜蓉炒芥兰,晚餐,200,一份约200g,炒制,蒜香,待审核,组合组成项,蔬菜菜肴,叶菜,蒜蓉炒芥兰以芥兰为主料，属叶菜蔬菜菜肴。
白灼芥兰,晚餐,200,一份约200g,煮制,清淡,待审核,组合组成项,蔬菜菜肴,叶菜,白灼芥兰以芥兰为主料，属叶菜蔬菜菜肴。
白灼生菜,晚餐,200,一份约200g,煮制,清淡,待审核,组合组成项,蔬菜菜肴,叶菜,白灼生菜以生菜为主料，属叶菜蔬菜菜肴。
上汤菠菜,晚餐,250,一份约250g,煮制,咸鲜,待审核,组合组成项,蔬菜菜肴,叶菜,上汤菠菜以菠菜为主料，属叶菜蔬菜菜肴。
上汤苋菜,晚餐,250,一份约250g,煮制,咸鲜,待审核,组合组成项,蔬菜菜肴,叶菜,上汤苋菜以苋菜为主料，属叶菜蔬菜菜肴。
清炒豆苗,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,叶菜,清炒豆苗以豆苗为主料，属叶菜蔬菜菜肴。
清炒韭菜,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,花茎类,清炒韭菜以韭菜为主料，属花茎类蔬菜菜肴。
清炒芹菜,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,花茎类,清炒芹菜以芹菜为主料，属花茎类蔬菜菜肴。
芹菜炒豆芽,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,花茎类|其他谷物,芹菜炒豆芽以芹菜与豆芽为主料，属蔬菜菜肴。
芹菜炒土豆丝,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,花茎类|薯类,芹菜炒土豆丝以芹菜与土豆为主料，属蔬菜菜肴。
炒三丝,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,花茎类|薯类,炒三丝以多种蔬菜丝为主料，属蔬菜菜肴。
清炒茭白,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,根菜,清炒茭白以茭白为主料，属根茎类蔬菜菜肴。
茭白丝炒青椒,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,根菜|瓜茄类,茭白丝炒青椒以茭白与青椒为主料，属蔬菜菜肴。
红烧茭白,晚餐,200,一份约200g,焖制,咸鲜,待审核,组合组成项,蔬菜菜肴,根菜,红烧茭白以茭白为主料，属根茎类蔬菜菜肴。
炒藕片,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,根菜,炒藕片以莲藕为主料，属根茎类蔬菜菜肴。
糖醋藕片,晚餐,200,一份约200g,炒制,酸甜,待审核,组合组成项,蔬菜菜肴,根菜,糖醋藕片以莲藕为主料，属根茎类蔬菜菜肴。
凉拌藕片,加餐,150,一份约150g,凉拌,酸辣,待审核,组合组成项,蔬菜菜肴,根菜,凉拌藕片以莲藕为主料，属根茎类蔬菜。
干锅包菜,晚餐,250,一份约250g,炒制,香辣,待审核,组合组成项,蔬菜菜肴,叶菜,干锅包菜以包菜为主料，属叶菜蔬菜菜肴。
干锅土豆片,晚餐,250,一份约250g,烤制,香辣,待审核,组合组成项,蔬菜菜肴,薯类,干锅土豆片以土豆为主料，属薯类蔬菜菜肴。
干锅茶树菇,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,菌菇,干锅茶树菇以茶树菇为主料，属菌菇蔬菜菜肴。
醋溜包菜,晚餐,200,一份约200g,炒制,酸甜,待审核,组合组成项,蔬菜菜肴,叶菜,醋溜包菜以包菜为主料，属叶菜蔬菜菜肴。
包菜粉丝,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,叶菜|杂豆,包菜粉丝以包菜与粉丝为主料，属蔬菜菜肴。
清炒包菜,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,叶菜,清炒包菜以包菜为主料，属叶菜蔬菜菜肴。
酸辣白菜,晚餐,250,一份约250g,炒制,酸辣,待审核,组合组成项,蔬菜菜肴,叶菜,酸辣白菜以白菜为主料，属叶菜蔬菜菜肴。
白菜粉丝汤,晚餐,250,一碗约250g,煮制,清淡,待审核,组合组成项,汤羹,叶菜|杂豆,白菜粉丝汤以白菜与粉丝煮汤，属蔬菜汤羹。
上汤白菜,晚餐,250,一份约250g,煮制,咸鲜,待审核,组合组成项,蔬菜菜肴,叶菜,上汤白菜以白菜为主料，属叶菜蔬菜菜肴。
凉拌白菜心,加餐,150,一份约150g,凉拌,酸辣,待审核,组合组成项,蔬菜菜肴,叶菜,凉拌白菜心以白菜心为主料，属叶菜蔬菜。
清炒丝瓜,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,瓜茄类,清炒丝瓜以丝瓜为主料，属瓜茄类蔬菜菜肴。
丝瓜炒毛豆,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,瓜茄类|杂豆,丝瓜炒毛豆以丝瓜与毛豆为主料，属蔬菜菜肴。
丝瓜豆腐汤,晚餐,250,一碗约250g,煮制,清淡,待审核,组合组成项,汤羹,瓜茄类|大豆及豆制品,丝瓜豆腐汤以丝瓜与豆腐煮汤，属蔬菜汤羹。
拍黄瓜,加餐,150,一份约150g,凉拌,蒜香,待审核,组合组成项,蔬菜菜肴,瓜茄类,拍黄瓜以黄瓜为主料，属瓜茄类蔬菜。
黄瓜炒鸡蛋,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蛋白质菜,瓜茄类|蛋类,黄瓜炒鸡蛋以黄瓜与鸡蛋为主料，属蛋菜蛋白质菜。
黄瓜炒肉片,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,瓜茄类|畜肉,黄瓜炒肉片以黄瓜与猪肉片为主料，属畜肉蛋白质菜。
蒜蓉炒苦瓜,晚餐,200,一份约200g,炒制,蒜香,待审核,组合组成项,蔬菜菜肴,瓜茄类,蒜蓉炒苦瓜以苦瓜为主料，属瓜茄类蔬菜菜肴。
苦瓜炒肉,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,瓜茄类|畜肉,苦瓜炒肉以苦瓜与猪肉为主料，属畜肉蛋白质菜。
清炒南瓜,晚餐,200,一份约200g,炒制,甜味,待审核,组合组成项,蔬菜菜肴,瓜茄类,清炒南瓜以南瓜为主料，属瓜茄类蔬菜菜肴。
蒜蓉炒南瓜,晚餐,200,一份约200g,炒制,蒜香,待审核,组合组成项,蔬菜菜肴,瓜茄类,蒜蓉炒南瓜以南瓜为主料，属瓜茄类蔬菜菜肴。
南瓜炒百合,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,瓜茄类,南瓜炒百合以南瓜与百合为主料，属蔬菜菜肴。
清炒冬瓜,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,瓜茄类,清炒冬瓜以冬瓜为主料，属瓜茄类蔬菜菜肴。
红烧冬瓜,晚餐,200,一份约200g,焖制,咸鲜,待审核,组合组成项,蔬菜菜肴,瓜茄类,红烧冬瓜以冬瓜为主料，属瓜茄类蔬菜菜肴。
虾皮炒冬瓜,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,瓜茄类|虾蟹贝类,虾皮炒冬瓜以冬瓜与虾皮为主料，属蔬菜菜肴。
冬瓜海米汤,晚餐,250,一碗约250g,煮制,清淡,待审核,组合组成项,汤羹,瓜茄类|虾蟹贝类,冬瓜海米汤以冬瓜与海米煮汤，属蔬菜汤羹。
凉拌西葫芦,加餐,150,一份约150g,凉拌,清淡,待审核,组合组成项,蔬菜菜肴,瓜茄类,凉拌西葫芦以西葫芦为主料，属瓜茄类蔬菜。
清炒西葫芦,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,瓜茄类,清炒西葫芦以西葫芦为主料，属瓜茄类蔬菜菜肴。
西葫芦炒番茄,晚餐,200,一份约200g,炒制,酸甜,待审核,组合组成项,蔬菜菜肴,瓜茄类,西葫芦炒番茄以西葫芦与番茄为主料，属蔬菜菜肴。
番茄炒菜花,晚餐,200,一份约200g,炒制,酸甜,待审核,组合组成项,蔬菜菜肴,瓜茄类|花茎类,番茄炒菜花以番茄与花菜为主料，属蔬菜菜肴。
番茄炖豆腐,晚餐,250,一份约250g,炖煮,酸甜,待审核,组合组成项,蔬菜菜肴,瓜茄类|大豆及豆制品,番茄炖豆腐以番茄与豆腐为主料，属蔬菜菜肴。
糖拌番茄,加餐,150,一份约150g,凉拌,甜味,待审核,组合组成项,蔬菜菜肴,瓜茄类,糖拌番茄以番茄为主料，属瓜茄类蔬菜。
蒜蓉炒茄子,晚餐,200,一份约200g,炒制,蒜香,待审核,组合组成项,蔬菜菜肴,瓜茄类,蒜蓉炒茄子以茄子为主料，属瓜茄类蔬菜菜肴。
蒸茄子,晚餐,200,一份约200g,蒸制,咸鲜,待审核,组合组成项,蔬菜菜肴,瓜茄类,蒸茄子以茄子为主料，属瓜茄类蔬菜菜肴。
凉拌茄子,加餐,150,一份约150g,凉拌,蒜香,待审核,组合组成项,蔬菜菜肴,瓜茄类,凉拌茄子以茄子为主料，属瓜茄类蔬菜。
炒土豆片,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,薯类,炒土豆片以土豆为主料，属薯类蔬菜菜肴。
土豆烧茄子,晚餐,250,一份约250g,炖煮,咸鲜,待审核,组合组成项,蔬菜菜肴,薯类|瓜茄类,土豆烧茄子以土豆与茄子为主料，属蔬菜菜肴。
土豆烧青椒,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,薯类|瓜茄类,土豆烧青椒以土豆与青椒为主料，属蔬菜菜肴。
酸辣土豆丝,晚餐,250,一份约250g,炒制,酸辣,待审核,组合组成项,蔬菜菜肴,薯类,酸辣土豆丝以土豆为主料，属薯类蔬菜菜肴。
青椒土豆丝,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,薯类|瓜茄类,青椒土豆丝以土豆与青椒为主料，属蔬菜菜肴。
炒胡萝卜丝,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,根菜,炒胡萝卜丝以胡萝卜为主料，属根茎类蔬菜菜肴。
胡萝卜炒木耳,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,根菜|菌菇,胡萝卜炒木耳以胡萝卜与木耳为主料，属蔬菜菜肴。
胡萝卜炒鸡蛋,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,根菜|蛋类,胡萝卜炒鸡蛋以胡萝卜与鸡蛋为主料，属蛋菜蛋白质菜。
凉拌胡萝卜丝,加餐,150,一份约150g,凉拌,酸甜,待审核,组合组成项,蔬菜菜肴,根菜,凉拌胡萝卜丝以胡萝卜为主料，属根茎类蔬菜。
蓝莓山药,加餐,150,一份约150g,其他,甜味,待审核,组合组成项,蔬菜菜肴,根菜|水果,蓝莓山药以山药与蓝莓酱为主料，属蔬菜甜点。
山药炒木耳,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,根菜|菌菇,山药炒木耳以山药与木耳为主料，属蔬菜菜肴。
西芹炒百合,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,花茎类,西芹炒百合以西芹与百合为主料，属蔬菜菜肴。
西芹炒木耳,晚餐,200,一份约200g,炒制,清淡,待审核,组合组成项,蔬菜菜肴,花茎类|菌菇,西芹炒木耳以西芹与木耳为主料，属蔬菜菜肴。
西芹炒腰果,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,花茎类|坚果,西芹炒腰果以西芹与腰果为主料，属蔬菜菜肴。
香菇青菜,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,菌菇|叶菜,香菇青菜以香菇与青菜为主料，属蔬菜菜肴。
香菇炒油菜,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,菌菇|叶菜,香菇炒油菜以香菇与油菜为主料，属蔬菜菜肴。
香菇炒生菜,晚餐,200,一份约200g,炒制,咸鲜,待审核,组合组成项,蔬菜菜肴,菌菇|叶菜,香菇炒生菜以香菇与生菜为主料，属蔬菜菜肴。
