关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态
豆汁,早餐,300,一碗约300ml，作为早餐,冲泡,其他,待审核
卤煮火烧,午餐,350,一碗约350g,煮制,咸鲜,待审核
酸菜鱼,晚餐,400,一份（整鱼），可食部分约400g,煮制,酸辣,待审核
怪味鸡,晚餐,250,一份，可食部分约250g,凉拌,香辣,待审核
涮羊肉,晚餐,400,一份火锅，羊肉约400g（不含配菜）,煮制,原味,待审核
煎饼果子,早餐,200,一份约200g，作为早餐,煎制,咸鲜,待审核
蒜泥白肉,晚餐,200,一份，可食部分约200g,煮制,蒜香,待审核
煎饼,早餐,200,一份约200g，作为早餐,煎制,咸鲜,待审核
甜水面,加餐,200,一份约200g，作为小吃,煮制,甜味,待审核
炸酱面,午餐,350,一碗约350g,煮制,咸鲜,待审核
北京烤鸭,晚餐,300,一份（含饼皮配料），可食部分约300g,烤制,咸鲜,待审核
潮州卤鹅,晚餐,300,一份，可食部分约300g,炖煮,五香,待审核
豉油鸡,晚餐,300,一份，可食部分约300g,煮制,咸鲜,待审核
豉汁蒸排骨,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核
姜撞奶,加餐,200,一碗约200g，作为甜品,冲泡,甜味,待审核
双皮奶,加餐,200,一碗约200g，作为甜品,蒸制,甜味,待审核
炸两,早餐,150,一份约150g，作为早餐,蒸制,咸鲜,待审核
牛腩面,午餐,400,一碗约400g,煮制,咸鲜,待审核
港式奶茶,加餐,250,一杯约250ml，作为饮品,冲泡,原味,待审核
菠萝包,加餐,100,一个约100g，作为点心,烤制,甜味,待审核
避风塘炒蟹,晚餐,300,一份，可食部分约300g,炒制,咸鲜,待审核
姜葱蒸鱼,晚餐,300,一份（整鱼），可食部分约300g,蒸制,鲜香,待审核
椒盐鱿鱼,晚餐,250,一份，可食部分约250g,油炸,咸鲜,待审核
咕噜肉,晚餐,250,一份，可食部分约250g,油炸,酸甜,待审核
干炒牛河,午餐,350,一份约350g,炒制,咸鲜,待审核
皮蛋瘦肉粥,早餐,350,一碗约350g，作为早餐,煮制,咸鲜,待审核
煲仔饭,午餐,350,一份约350g,焖制,咸鲜,待审核
白切鸡,晚餐,300,一份，可食部分约300g,煮制,原味,待审核
脆皮烧肉,晚餐,250,一份，可食部分约250g,烤制,咸鲜,待审核
叉烧,晚餐,200,一份，可食部分约200g,烤制,咸鲜,待审核
烧鹅,晚餐,300,一份，可食部分约300g,烤制,五香,待审核
云吞面,午餐,350,一碗约350g,煮制,鲜香,待审核
萝卜糕,加餐,150,一份约150g，作为点心,煎制,咸鲜,待审核
糯米鸡,午餐,250,一份约250g,蒸制,咸鲜,待审核
肠粉,早餐,250,一份约250g，作为早餐,蒸制,咸鲜,待审核
叉烧包,早餐,150,一个约150g，作为早餐,蒸制,咸鲜,待审核
烧卖,午餐,150,一份约150g（4只）,蒸制,鲜香,待审核
虾饺,午餐,150,一笼约150g（4只）,蒸制,鲜香,待审核
冒菜,晚餐,400,一份，可食部分约400g,煮制,麻辣,待审核
川北凉粉,加餐,200,一份约200g，作为小吃,凉拌,香辣,待审核
乐山跷脚牛肉,晚餐,350,一份，可食部分约350g（含汤）,煮制,鲜香,待审核
樟茶鸭,晚餐,300,一份，可食部分约300g,炖煮,五香,待审核
毛血旺,晚餐,400,一份，可食部分约400g,煮制,麻辣,待审核
钵钵鸡,加餐,300,一份约300g（8-10串）,凉拌,麻辣,待审核
干煸四季豆,午餐,250,一份约250g,炒制,咸鲜,待审核
宜宾燃面,午餐,300,一碗约300g,凉拌,香辣,待审核
钟水饺,午餐,250,一份约250g（10只）,煮制,香辣,待审核
龙抄手,午餐,300,一碗约300g（8-10只）,煮制,香辣,待审核
酸辣粉,午餐,350,一碗约350g,煮制,酸辣,待审核
重庆小面,午餐,350,一碗约350g,煮制,麻辣,待审核
麻辣香锅,晚餐,400,一份，可食部分约400g,炒制,麻辣,待审核
辣子鸡,晚餐,300,一份，可食部分约300g,炒制,香辣,待审核
口水鸡,加餐,250,一份约250g，作为凉菜,凉拌,麻辣,待审核
夫妻肺片,加餐,200,一份约200g，作为凉菜,凉拌,麻辣,待审核
水煮牛肉,晚餐,350,一份，可食部分约350g,煮制,麻辣,待审核
水煮鱼,晚餐,400,一份（整鱼），可食部分约400g,煮制,麻辣,待审核
鱼香肉丝,晚餐,250,一份，可食部分约250g,炒制,酸甜,待审核
回锅肉,晚餐,250,一份，可食部分约250g,炒制,香辣,待审核
担担面,午餐,300,一碗约300g,凉拌,麻辣,待审核
重庆火锅,晚餐,400,一份火锅，食材约400g（不含汤）,煮制,麻辣,待审核
四川火锅,晚餐,400,一份火锅，食材约400g（不含汤）,煮制,麻辣,待审核
宫保鸡丁,晚餐,250,一份，可食部分约250g,炒制,酸甜,待审核
麻婆豆腐,晚餐,300,一份约300g,煮制,麻辣,待审核
豆浆粥,早餐,300,一碗约300g，作为早餐,煮制,原味,待审核
冻梨,加餐,150,一份约150g，作为水果,其他,甜味,待审核
吉林拌粉条,午餐,250,一份约250g,凉拌,酸辣,待审核
玉米馒头,早餐,100,一个约100g，作为早餐,蒸制,原味,待审核
酸菜炒肉,晚餐,250,一份约250g,炒制,酸辣,待审核
豆沙年糕,加餐,150,一份约150g，作为甜点,蒸制,甜味,待审核
炸玉米饼,加餐,150,一份约150g，作为小吃,油炸,原味,待审核
吉林野蘑菇炖鸡,晚餐,350,一份，可食部分约350g,炖煮,鲜香,待审核
酸菜煎饼,早餐,200,一份约200g，作为早餐,煎制,酸辣,待审核
吉林糯米肠,加餐,150,一份约150g，作为小吃,蒸制,咸鲜,待审核
延边猪肉蒸饺,午餐,250,一份约250g（10只）,蒸制,咸鲜,待审核
吉林玉米饼,早餐,150,一份约150g，作为早餐,煎制,原味,待审核
酸菜炖粉条,晚餐,300,一份约300g,炖煮,酸辣,待审核
延吉辣炒年糕,午餐,250,一份约250g,炒制,香辣,待审核
吉林凉粉,加餐,200,一份约200g，作为小吃,凉拌,酸辣,待审核
泡菜煎饼,早餐,200,一份约200g，作为早餐,煎制,酸辣,待审核
吉林土豆炖猪肉,晚餐,350,一份，可食部分约350g,炖煮,咸鲜,待审核
延边烤羊肉串,加餐,150,一份约150g（5-6串）,烤制,孜然,待审核
唐山甜糯米糕,加餐,150,一份约150g，作为甜点,蒸制,甜味,待审核
河北素饺,午餐,250,一份约250g（10只）,煮制,咸鲜,待审核
保定炸鸡,晚餐,250,一份，可食部分约250g,油炸,咸鲜,待审核
河北小米粥,早餐,350,一碗约350g，作为早餐,煮制,原味,待审核
唐山凉面,午餐,300,一份约300g,凉拌,酸辣,待审核
河北包子,早餐,200,两个约200g，作为早餐,蒸制,咸鲜,待审核
保定炸豆腐,加餐,150,一份约150g，作为小吃,油炸,香辣,待审核
河北麻花,加餐,80,一份约80g，作为零食,油炸,甜味,待审核
唐山地瓜丸,加餐,150,一份约150g，作为小吃,油炸,甜味,待审核
河北粉条炖肉,晚餐,300,一份约300g,炖煮,咸鲜,待审核
石家庄鸡蛋饼,早餐,200,一份约200g，作为早餐,煎制,咸鲜,待审核
河北汤圆,加餐,200,一碗约200g，作为甜品,煮制,甜味,待审核
河北夹馅饼,早餐,150,一个约150g，作为早餐,煎制,咸鲜,待审核
唐山炸鱼,晚餐,250,一份，可食部分约250g,油炸,咸鲜,待审核
保定驴肉面,午餐,350,一碗约350g,煮制,咸鲜,待审核
河北羊汤,午餐,350,一碗约350g（含汤）,煮制,鲜香,待审核
石家庄面汤,午餐,350,一碗约350g,煮制,咸鲜,待审核
保定炸糕,加餐,100,一个约100g，作为小吃,油炸,甜味,待审核
冠头蒸馒头,早餐,150,一个约150g，作为早餐,蒸制,原味,待审核
奶皮卷,加餐,100,一份约100g，作为小吃,其他,原味,待审核
清蒸羊排,晚餐,300,一份，可食部分约300g,蒸制,原味,待审核
炒面糊糊,早餐,250,一碗约250g，作为早餐,炒制,咸鲜,待审核
蒙古酸奶,加餐,200,一碗约200g，作为加餐/饮品,其他,原味,待审核
孜然羊肉,晚餐,250,一份，可食部分约250g,炒制,孜然,待审核
炸奶球,加餐,100,一份约100g，作为小吃,油炸,甜味,待审核
蒸玉米饼,早餐,150,一份约150g，作为早餐,蒸制,原味,待审核
奶茶粥,早餐,300,一碗约300g，作为早餐,煮制,原味,待审核
烤牛肉串,加餐,150,一份约150g（5-6串）,烤制,孜然,待审核
燕麦粥,早餐,300,一碗约300g，作为早餐,煮制,原味,待审核
蒙古火锅,晚餐,400,一份火锅，食材约400g,煮制,鲜香,待审核
烤奶酪,加餐,100,一份约100g，作为小吃,烤制,原味,待审核
羊肉蒸饺,午餐,250,一份约250g（10只）,蒸制,咸鲜,待审核
荞麦羊肉面,午餐,350,一碗约350g,煮制,孜然,待审核
蒙古牛肉饼,午餐,200,一个约200g,煎制,咸鲜,待审核
炸奶皮,加餐,100,一份约100g，作为小吃,油炸,甜味,待审核
手拉羊肉面,午餐,400,一碗约400g,煮制,鲜香,待审核
虾饼,加餐,100,一份约100g，作为小吃,油炸,鲜香,待审核
豆花,加餐,250,一碗约250g，作为小吃/甜品,煮制,甜味,待审核
炸云吞,加餐,150,一份约150g，作为小吃,油炸,咸鲜,待审核
椰子冻,加餐,200,一份约200g，作为甜品,其他,甜味,待审核
炒年糕,加餐,200,一份约200g，作为小吃,炒制,甜味,待审核
烤鱿鱼,加餐,200,一份约200g，作为小吃,烤制,咸鲜,待审核
海南粽子,加餐,200,一个约200g，作为小吃,煮制,咸鲜,待审核
炸冰淇淋,加餐,100,一个约100g，作为甜品,油炸,甜味,待审核
抱罗粉,午餐,400,一碗约400g,煮制,鲜香,待审核
海南春卷,加餐,150,一份约150g，作为小吃,油炸,咸鲜,待审核
椰子鸡汤,晚餐,400,一份（含汤），可食部分约400g,煮制,鲜香,待审核
鱼饭,午餐,350,一份约350g,蒸制,咸鲜,待审核
清补凉,加餐,300,一碗约300g，作为甜品,其他,甜味,待审核
东山羊火锅,晚餐,400,一份火锅，食材约400g,煮制,鲜香,待审核
海南粉,午餐,350,一碗约350g,煮制,鲜香,待审核
福州红曲米糕,加餐,100,一份约100g，作为点心,蒸制,甜味,待审核
莆田盐焗花蛤,晚餐,250,一份，可食部分约250g,烤制,咸鲜,待审核
泉州花生面,午餐,350,一碗约350g,煮制,鲜香,待审核
厦门沙茶牛肉串,加餐,150,一份约150g（5-6串）,烤制,咸鲜,待审核
