关联目录菜品名称,餐次,单份克数,份量说明,做法标签,口味标签,状态,配餐用途,餐内角色,食材标签,分类依据
汽锅鸡,晚餐,350,一份（汽锅），可食部分约350g,蒸制,鲜香,待审核,组合组成项,蛋白质菜,禽肉,汽锅鸡主要食材为禽肉，作为主菜蛋白质。
过桥米线,午餐,500,一碗约500g（含汤及配料）,煮制,鲜香,待审核,整餐候选,主食,米及制品,过桥米线主要食材为米及米制品，作为组合餐主食。
鲜肉月饼,加餐,100,一个约100g，作为点心,烤制,咸鲜,待审核,组合组成项,主食,畜肉|麦及制品,鲜肉月饼主要食材为畜肉、麦及面制品，作为组合餐主食。
徽州炖甲鱼,晚餐,300,一份，可食部分约300g,炖煮,鲜香,待审核,组合组成项,蛋白质菜,鱼类,徽州炖甲鱼主要食材为菜名所示食材，作为主菜蛋白质。
条头糕,加餐,100,一份约100g，作为点心,蒸制,甜味,待审核,组合组成项,其他配菜,米及制品,条头糕主要食材为米及米制品，作为配菜/点心。
酒酿圆子,加餐,250,一碗约250g，作为甜品,煮制,甜味,待审核,组合组成项,其他配菜,米及制品,酒酿圆子主要食材为米及米制品，作为配菜/点心。
黄山烧饼,加餐,100,一份约100g，作为零食,烤制,咸鲜,待审核,组合组成项,主食,麦及制品,黄山烧饼主要食材为麦及面制品，作为组合餐主食。
一品锅,晚餐,400,一份（锅），可食部分约400g,炖煮,鲜香,待审核,整餐候选,混合主餐,畜肉|蛋类|大豆及豆制品|叶菜,一品锅主要食材为菜名所示食材，作为含主荤的混合主餐。
排骨年糕,午餐,350,一份约350g,炖煮,咸鲜,待审核,两者皆可,混合主餐,畜肉|米及制品,排骨年糕主要食材为畜肉、米及米制品，作为含主荤的混合主餐。
上海冷面,午餐,300,一份约300g,凉拌,酸甜,待审核,两者皆可,主食,麦及制品,上海冷面主要食材为麦及面制品，作为组合餐主食。
八公山豆腐,午餐,300,一份，可食部分约300g,煮制,鲜香,待审核,组合组成项,蛋白质菜,大豆及豆制品,八公山豆腐主要食材为大豆及豆制品，作为主菜蛋白质。
上海大馄饨,午餐,300,一碗约300g（8-10只）,煮制,鲜香,待审核,两者皆可,混合主餐,麦及制品,上海大馄饨主要食材为麦及面制品，作为含主荤的混合主餐。
符离集烧鸡,晚餐,300,一份（半只），可食部分约300g,炖煮,五香,待审核,组合组成项,蛋白质菜,禽肉,符离集烧鸡主要食材为禽肉，作为主菜蛋白质。
蟹粉面,午餐,300,一碗约300g,煮制,鲜香,待审核,组合组成项,主食,麦及制品,蟹粉面主要食材为麦及面制品，作为组合餐主食。
问政山笋,午餐,250,一份约250g,炒制,鲜香,待审核,组合组成项,蔬菜菜肴,花茎类,问政山笋主要食材为花茎类蔬菜，作为配菜蔬菜。
罗宋汤,晚餐,350,一碗约350g（含汤）,煮制,酸甜,待审核,组合组成项,汤羹,畜肉|根菜|瓜茄类|叶菜,罗宋汤主要食材为菜名所示食材，作为汤羹。
黄山炖鸽,晚餐,300,一份（砂锅），可食部分约300g,炖煮,鲜香,待审核,组合组成项,蛋白质菜,禽肉,黄山炖鸽主要食材为禽肉，作为主菜蛋白质。
上海菜饭,午餐,300,一份约300g,炒制,咸鲜,待审核,两者皆可,混合主餐,米及制品,上海菜饭主要食材为米及米制品，作为含主荤的混合主餐。
李鸿章杂烩,晚餐,350,一份，可食部分约350g,炖煮,鲜香,待审核,整餐候选,混合主餐,畜肉|禽肉|虾蟹贝类,李鸿章杂烩主要食材为菜名所示食材，作为含主荤的混合主餐。
四喜烤麸,加餐,150,一份约150g，作为凉菜,凉拌,咸鲜,待审核,组合组成项,蛋白质菜,大豆及豆制品,四喜烤麸主要食材为大豆及豆制品，作为主菜蛋白质。
毛豆腐,加餐,150,一份约150g，作为小吃,煎制,香辣,待审核,组合组成项,蛋白质菜,大豆及豆制品,毛豆腐主要食材为大豆及豆制品，作为主菜蛋白质。
油爆虾,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,虾蟹贝类,油爆虾主要食材为虾蟹贝等海鲜，作为主菜蛋白质。
臭鳜鱼,晚餐,300,一份（整鱼），可食部分约300g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,鱼类,臭鳜鱼主要食材为鱼类，作为主菜蛋白质。
焦圈,早餐,50,一份约50g，搭配豆汁食用,油炸,原味,待审核,组合组成项,其他配菜,麦及制品,焦圈主要食材为麦及面制品，作为配菜/点心。
腊味合蒸,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,腊味合蒸主要食材为畜肉，作为主菜蛋白质。
奶油炸糕,加餐,100,一份约100g，作为点心,油炸,甜味,待审核,组合组成项,其他配菜,奶及奶制品|麦及制品,奶油炸糕主要食材为奶及奶制品、麦及面制品，作为配菜/点心。
腊八豆腐,加餐,100,一份约100g，作为配餐,其他,五香,待审核,组合组成项,蛋白质菜,大豆及豆制品,腊八豆腐主要食材为大豆及豆制品，作为主菜蛋白质。
剁椒芋头,午餐,250,一份约250g,蒸制,香辣,待审核,组合组成项,蔬菜菜肴,薯类,剁椒芋头主要食材为薯类，作为配菜蔬菜。
蜜麻花,加餐,80,一份约80g，作为零食,油炸,甜味,待审核,组合组成项,主食,麦及制品,蜜麻花主要食材为麦及面制品，作为组合餐主食。
口味虾,晚餐,300,一份，可食部分约300g,炒制,香辣,待审核,组合组成项,蛋白质菜,虾蟹贝类,口味虾主要食材为虾蟹贝等海鲜，作为主菜蛋白质。
豆腐脑,早餐,250,一碗约250g，作为早餐,煮制,咸鲜,待审核,组合组成项,蛋白质菜,大豆及豆制品,豆腐脑主要食材为大豆及豆制品，作为主菜蛋白质。
湘西酸鱼,晚餐,250,一份，可食部分约250g,蒸制,酸辣,待审核,组合组成项,蛋白质菜,鱼类,湘西酸鱼主要食材为鱼类，作为主菜蛋白质。
酱肘子,晚餐,200,一份，可食部分约200g,炖煮,五香,待审核,组合组成项,蛋白质菜,畜肉,酱肘子主要食材为畜肉，作为主菜蛋白质。
萨其马,加餐,80,一份约80g，作为零食,油炸,甜味,待审核,组合组成项,其他配菜,麦及制品,萨其马主要食材为麦及面制品，作为配菜/点心。
血鸭,晚餐,300,一份，可食部分约300g,炒制,香辣,待审核,组合组成项,蛋白质菜,禽肉|动物内脏,血鸭主要食材为禽肉、动物内脏，作为主菜蛋白质。
常德牛肉粉,午餐,350,一碗约350g,煮制,香辣,待审核,整餐候选,混合主餐,畜肉|米及制品,常德牛肉粉主要食材为畜肉、米及米制品，作为含主荤的混合主餐。
芝麻烧饼,早餐,100,一个约100g，作为早餐,烤制,咸鲜,待审核,组合组成项,主食,麦及制品|种子,芝麻烧饼主要食材为麦及面制品、种子，作为组合餐主食。
湖南米粉,午餐,350,一碗约350g,煮制,香辣,待审核,整餐候选,主食,米及制品,湖南米粉主要食材为米及米制品，作为组合餐主食。
糖火烧,早餐,100,一个约100g，作为早餐,烤制,甜味,待审核,组合组成项,其他配菜,麦及制品,糖火烧主要食材为麦及面制品，作为配菜/点心。
长沙臭豆腐,加餐,150,一份约150g，作为小吃,油炸,香辣,待审核,组合组成项,蛋白质菜,大豆及豆制品,长沙臭豆腐主要食材为大豆及豆制品，作为主菜蛋白质。
麻豆腐,加餐,150,一份约150g，作为小菜,炒制,咸鲜,待审核,组合组成项,蛋白质菜,大豆及豆制品,麻豆腐主要食材为大豆及豆制品，作为主菜蛋白质。
炙子烤肉,晚餐,300,一份，可食部分约300g,烤制,孜然,待审核,组合组成项,蛋白质菜,畜肉,炙子烤肉主要食材为畜肉，作为主菜蛋白质。
辣椒炒肉,晚餐,300,一份，可食部分约300g,炒制,香辣,待审核,组合组成项,蛋白质菜,畜肉,辣椒炒肉主要食材为畜肉，作为主菜蛋白质。
东安鸡,晚餐,300,一份，可食部分约300g,煮制,酸辣,待审核,组合组成项,蛋白质菜,禽肉,东安鸡主要食材为禽肉，作为主菜蛋白质。
面茶,早餐,250,一碗约250ml，作为早餐,冲泡,咸鲜,待审核,组合组成项,其他配菜,麦及制品,面茶主要食材为麦及面制品，作为配菜/点心。
湖南腊肉,加餐,100,一份约100g，作为配餐,其他,五香,待审核,组合组成项,蛋白质菜,畜肉,湖南腊肉主要食材为畜肉，作为主菜蛋白质。
麻酱面,午餐,300,一碗约300g,煮制,咸鲜,待审核,两者皆可,主食,麦及制品,麻酱面主要食材为麦及面制品，作为组合餐主食。
冰糖葫芦,加餐,100,一串约100g，作为零食,其他,酸甜,待审核,组合组成项,水果,水果,冰糖葫芦主要食材为水果，作为水果。
剁椒鱼头,晚餐,350,一份（鱼头），可食部分约350g,蒸制,香辣,待审核,组合组成项,蛋白质菜,鱼类,剁椒鱼头主要食材为鱼类，作为主菜蛋白质。
毛氏红烧肉,晚餐,250,一份，可食部分约250g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,毛氏红烧肉主要食材为畜肉，作为主菜蛋白质。
豌豆黄,加餐,150,一份约150g，作为甜点,其他,甜味,待审核,组合组成项,其他配菜,杂豆,豌豆黄主要食材为杂豆，作为配菜/点心。
爆肚,加餐,200,一份约200g，作为小吃,煮制,咸鲜,待审核,组合组成项,蛋白质菜,动物内脏,爆肚主要食材为动物内脏，作为主菜蛋白质。
芋泥,加餐,150,一份约150g，作为甜点,蒸制,甜味,待审核,组合组成项,其他配菜,薯类,芋泥主要食材为薯类，作为配菜/点心。
泉州姜母鸭,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,泉州姜母鸭主要食材为禽肉，作为主菜蛋白质。
炒肝,早餐,250,一碗约250g，作为早餐,煮制,咸鲜,待审核,组合组成项,蛋白质菜,动物内脏,炒肝主要食材为动物内脏，作为主菜蛋白质。
芜湖虾籽面,午餐,300,一碗约300g,煮制,鲜香,待审核,整餐候选,混合主餐,虾蟹贝类|麦及制品,芜湖虾籽面主要食材为虾蟹贝等海鲜、麦及面制品，作为含主荤的混合主餐。
莆田卤面,午餐,350,一碗约350g,煮制,鲜香,待审核,整餐候选,主食,麦及制品,莆田卤面主要食材为麦及面制品，作为组合餐主食。
徽州酿豆腐,午餐,250,一份约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,大豆及豆制品,徽州酿豆腐主要食材为大豆及豆制品，作为主菜蛋白质。
沙县扁肉,加餐,200,一份约200g，作为小吃,煮制,鲜香,待审核,两者皆可,混合主餐,畜肉|麦及制品,沙县扁肉主要食材为畜肉、麦及面制品，作为含主荤的混合主餐。
宿州撒汤,早餐,300,一碗约300ml，作为早餐,煮制,鲜香,待审核,两者皆可,汤羹,蛋类|禽肉,宿州撒汤主要食材为菜名所示食材，作为汤羹。
沙县拌面,加餐,200,一份约200g，作为小吃,凉拌,咸鲜,待审核,组合组成项,主食,麦及制品,沙县拌面主要食材为麦及面制品，作为组合餐主食。
潮州粥,早餐,350,一碗约350g，作为早餐,煮制,鲜香,待审核,整餐候选,主食,米及制品,潮州粥主要食材为米及米制品，作为组合餐主食。
绩溪挞粿,早餐,150,一份约150g，作为早餐,煎制,咸鲜,待审核,组合组成项,其他配菜,米及制品|麦及制品,绩溪挞粿主要食材为米及米制品、麦及面制品，作为配菜/点心。
潮州牛肉丸,晚餐,250,一份约250g（8-10颗）,煮制,鲜香,待审核,组合组成项,蛋白质菜,畜肉,潮州牛肉丸主要食材为畜肉，作为主菜蛋白质。
石耳炖鸡,晚餐,350,一份（砂锅），可食部分约350g,炖煮,鲜香,待审核,组合组成项,蛋白质菜,禽肉|菌菇,石耳炖鸡主要食材为禽肉、菌菇，作为主菜蛋白质。
梅菜扣肉,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,梅菜扣肉主要食材为畜肉，作为主菜蛋白质。
黄山双石,晚餐,300,一份（砂锅），可食部分约300g,炖煮,鲜香,待审核,组合组成项,蔬菜菜肴,菌菇,黄山双石主要食材为菌菇，作为配菜蔬菜。
方腊鱼,晚餐,300,一份，可食部分约300g,炖煮,鲜香,待审核,组合组成项,蛋白质菜,鱼类,方腊鱼主要食材为鱼类，作为主菜蛋白质。
盐焗鸡,晚餐,300,一份，可食部分约300g,烤制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,盐焗鸡主要食材为禽肉，作为主菜蛋白质。
客家擂茶,加餐,250,一碗约250ml，作为饮品,冲泡,原味,待审核,组合组成项,饮品,米及制品|坚果|种子,客家擂茶主要食材为菜名所示食材，作为饮品。
葡萄鱼,晚餐,300,一份（整鱼），可食部分约300g,油炸,酸甜,待审核,组合组成项,蛋白质菜,鱼类,葡萄鱼主要食材为鱼类，作为主菜蛋白质。
大救驾,午餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,主食,米及制品,大救驾主要食材为米及米制品，作为组合餐主食。
客家酿豆腐,晚餐,250,一份约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,大豆及豆制品,客家酿豆腐主要食材为大豆及豆制品，作为主菜蛋白质。
曹操鸡,晚餐,300,一份，可食部分约300g,炖煮,五香,待审核,组合组成项,蛋白质菜,禽肉,曹操鸡主要食材为禽肉，作为主菜蛋白质。
红糟鸡,晚餐,300,一份，可食部分约300g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,红糟鸡主要食材为禽肉，作为主菜蛋白质。
淮南牛肉汤,午餐,350,一碗约350g（含汤）,煮制,鲜香,待审核,两者皆可,汤羹,畜肉,淮南牛肉汤主要食材为畜肉，作为汤羹。
荔枝肉,晚餐,250,一份，可食部分约250g,油炸,酸甜,待审核,组合组成项,蛋白质菜,畜肉|水果,荔枝肉主要食材为畜肉、水果，作为主菜蛋白质。
屯溪醉蟹,加餐,150,一份约150g，作为凉菜,生食,咸鲜,待审核,组合组成项,蛋白质菜,虾蟹贝类,屯溪醉蟹主要食材为虾蟹贝等海鲜，作为主菜蛋白质。
福建炒饭,午餐,350,一份约350g,炒制,咸鲜,待审核,两者皆可,混合主餐,米及制品,福建炒饭主要食材为米及米制品，作为含主荤的混合主餐。
三河米饺,加餐,150,一份约150g，作为小吃,油炸,咸鲜,待审核,组合组成项,主食,米及制品,三河米饺主要食材为米及米制品，作为组合餐主食。
沙茶面,午餐,350,一碗约350g,煮制,鲜香,待审核,整餐候选,主食,麦及制品,沙茶面主要食材为麦及面制品，作为组合餐主食。
无为熏鸭,晚餐,300,一份，可食部分约300g,炖煮,五香,待审核,组合组成项,蛋白质菜,禽肉,无为熏鸭主要食材为禽肉，作为主菜蛋白质。
海蛎煎,加餐,200,一份约200g，作为小吃,煎制,鲜香,待审核,组合组成项,蛋白质菜,虾蟹贝类,海蛎煎主要食材为虾蟹贝等海鲜，作为主菜蛋白质。
庐州烤鸭,晚餐,300,一份，可食部分约300g,烤制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,庐州烤鸭主要食材为禽肉，作为主菜蛋白质。
福州鱼丸,加餐,200,一碗约200g（含汤）,煮制,鲜香,待审核,组合组成项,蛋白质菜,鱼类,福州鱼丸主要食材为鱼类，作为主菜蛋白质。
佛跳墙,晚餐,300,一盅约300g，作为主菜,炖煮,鲜香,待审核,整餐候选,汤羹,虾蟹贝类|鱼类,佛跳墙主要食材为菜名所示食材，作为汤羹。
温州糯米饭,早餐,250,一份约250g，作为早餐,蒸制,咸鲜,待审核,两者皆可,主食,米及制品,温州糯米饭主要食材为米及米制品，作为组合餐主食。
上海炒面,午餐,300,一份约300g,炒制,咸鲜,待审核,两者皆可,主食,麦及制品,上海炒面主要食材为麦及面制品，作为组合餐主食。
衢州鸭头,加餐,200,一份约200g（2-3只）,炖煮,香辣,待审核,组合组成项,蛋白质菜,禽肉,衢州鸭头主要食材为禽肉，作为主菜蛋白质。
宁波年糕汤,午餐,350,一碗约350g,煮制,咸鲜,待审核,组合组成项,汤羹,米及制品,宁波年糕汤主要食材为米及米制品，作为汤羹。
红膏炝蟹,加餐,150,一份约150g，作为凉菜,生食,咸鲜,待审核,组合组成项,蛋白质菜,虾蟹贝类,红膏炝蟹主要食材为虾蟹贝等海鲜，作为主菜蛋白质。
桂花糯米藕,加餐,150,一份约150g，作为甜点,煮制,甜味,待审核,组合组成项,其他配菜,米及制品|根菜,桂花糯米藕主要食材为米及米制品、根茎类蔬菜，作为配菜/点心。
绍兴臭豆腐,加餐,150,一份约150g，作为小吃,油炸,香辣,待审核,组合组成项,蛋白质菜,大豆及豆制品,绍兴臭豆腐主要食材为大豆及豆制品，作为主菜蛋白质。
荷叶粉蒸肉,晚餐,250,一份，可食部分约250g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,荷叶粉蒸肉主要食材为畜肉，作为主菜蛋白质。
蟹壳黄,加餐,100,一个约100g，作为点心,烤制,咸鲜,待审核,组合组成项,主食,麦及制品|种子,蟹壳黄主要食材为麦及面制品、种子，作为组合餐主食。
粢饭团,早餐,250,一个约250g，作为早餐,其他,咸鲜,待审核,组合组成项,主食,米及制品,粢饭团主要食材为米及米制品，作为组合餐主食。
韭黄鳝丝,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,鱼类|叶菜,韭黄鳝丝主要食材为鱼类、叶菜，作为主菜蛋白质。
八宝鸭,晚餐,300,一份（整鸭），可食部分约300g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,八宝鸭主要食材为禽肉，作为主菜蛋白质。
蜜汁火方,晚餐,200,一份约200g,蒸制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,蜜汁火方主要食材为畜肉，作为主菜蛋白质。
上海熏鱼,加餐,150,一份约150g，作为凉菜,油炸,咸鲜,待审核,组合组成项,蛋白质菜,鱼类,上海熏鱼主要食材为鱼类，作为主菜蛋白质。
温州鱼丸,加餐,200,一碗约200g（含汤）,煮制,鲜香,待审核,组合组成项,蛋白质菜,鱼类,温州鱼丸主要食材为鱼类，作为主菜蛋白质。
台州麦饼,午餐,200,一个约200g,煎制,咸鲜,待审核,组合组成项,主食,麦及制品,台州麦饼主要食材为麦及面制品，作为组合餐主食。
葱油拌面,午餐,300,一碗约300g,凉拌,咸鲜,待审核,两者皆可,主食,麦及制品,葱油拌面主要食材为麦及面制品，作为组合餐主食。
上海红烧肉,晚餐,250,一份，可食部分约250g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,上海红烧肉主要食材为畜肉，作为主菜蛋白质。
宁波炒年糕,午餐,300,一份约300g,炒制,咸鲜,待审核,两者皆可,主食,米及制品,宁波炒年糕主要食材为米及米制品，作为组合餐主食。
小笼包,午餐,200,一笼约200g（6只）,蒸制,鲜香,待审核,两者皆可,混合主餐,麦及制品,小笼包主要食材为麦及面制品，作为含主荤的混合主餐。
雪菜大汤黄鱼,晚餐,350,一份（整鱼），可食部分约350g,炖煮,鲜香,待审核,组合组成项,蛋白质菜,鱼类,雪菜大汤黄鱼主要食材为鱼类，作为主菜蛋白质。
生煎包,早餐,200,一锅约200g（4只）,煎制,鲜香,待审核,两者皆可,混合主餐,麦及制品,生煎包主要食材为麦及面制品，作为含主荤的混合主餐。
绍兴醉虾,加餐,150,一份约150g，作为凉菜,生食,咸鲜,待审核,组合组成项,蛋白质菜,虾蟹贝类,绍兴醉虾主要食材为虾蟹贝等海鲜，作为主菜蛋白质。
杭州酱鸭,晚餐,250,一份，可食部分约250g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,杭州酱鸭主要食材为禽肉，作为主菜蛋白质。
炸响铃,加餐,150,一份约150g，作为小吃,油炸,咸鲜,待审核,组合组成项,其他配菜,大豆及豆制品,炸响铃主要食材为大豆及豆制品，作为配菜/点心。
绍兴醉鸡,加餐,200,一份约200g，作为凉菜,生食,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,绍兴醉鸡主要食材为禽肉，作为主菜蛋白质。
西湖牛肉羹,晚餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核,组合组成项,汤羹,畜肉,西湖牛肉羹主要食材为畜肉，作为汤羹。
宁波汤圆,加餐,200,一碗约200g，作为甜品,煮制,甜味,待审核,组合组成项,主食,米及制品,宁波汤圆主要食材为米及米制品，作为组合餐主食。
宋嫂鱼羹,晚餐,300,一碗约300g（含汤）,煮制,咸鲜,待审核,组合组成项,汤羹,鱼类,宋嫂鱼羹主要食材为鱼类，作为汤羹。
嘉兴粽子,早餐,200,一个约200g，作为早餐,煮制,咸鲜,待审核,两者皆可,主食,米及制品,嘉兴粽子主要食材为米及米制品，作为组合餐主食。
片儿川,午餐,350,一碗约350g,煮制,鲜香,待审核,整餐候选,主食,麦及制品,片儿川主要食材为麦及面制品，作为组合餐主食。
闽南薄饼,加餐,150,一份约150g，作为小吃,其他,咸鲜,待审核,组合组成项,其他配菜,麦及制品,闽南薄饼主要食材为麦及面制品，作为配菜/点心。
龙井虾仁,晚餐,250,一份，可食部分约250g,炒制,鲜香,待审核,组合组成项,蛋白质菜,虾蟹贝类,龙井虾仁主要食材为虾蟹贝等海鲜，作为主菜蛋白质。
泉州萝卜饭,午餐,300,一份约300g,炒制,咸鲜,待审核,两者皆可,混合主餐,米及制品|根菜,泉州萝卜饭主要食材为米及米制品、根茎类蔬菜，作为含主荤的混合主餐。
西湖醋鱼,晚餐,300,一份（整鱼），可食部分约300g,煮制,酸甜,待审核,组合组成项,蛋白质菜,鱼类,西湖醋鱼主要食材为鱼类，作为主菜蛋白质。
东坡肉,晚餐,250,一份，可食部分约250g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,东坡肉主要食材为畜肉，作为主菜蛋白质。
石花膏,加餐,250,一碗约250g，作为甜品,其他,甜味,待审核,组合组成项,其他配菜,藻类,石花膏主要食材为藻类，作为配菜/点心。
福州鱼面,午餐,300,一碗约300g,煮制,鲜香,待审核,整餐候选,混合主餐,鱼类|麦及制品,福州鱼面主要食材为鱼类、麦及面制品，作为含主荤的混合主餐。
高邮咸鸭蛋,早餐,70,一个约70g，作为早餐小菜,其他,咸鲜,待审核,组合组成项,蛋白质菜,蛋类,高邮咸鸭蛋主要食材为蛋类，作为主菜蛋白质。
软兜长鱼,晚餐,250,一份，可食部分约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,鱼类,软兜长鱼主要食材为鱼类，作为主菜蛋白质。
醉排骨,晚餐,250,一份，可食部分约250g,油炸,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,醉排骨主要食材为畜肉，作为主菜蛋白质。
漳州卤面,午餐,350,一碗约350g,煮制,鲜香,待审核,整餐候选,主食,麦及制品,漳州卤面主要食材为麦及面制品，作为组合餐主食。
银鱼炒蛋,晚餐,200,一份，可食部分约200g,炒制,鲜香,待审核,组合组成项,蛋白质菜,鱼类|蛋类,银鱼炒蛋主要食材为鱼类、蛋类，作为主菜蛋白质。
南京烤鸭,晚餐,300,一份，可食部分约300g,烤制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,南京烤鸭主要食材为禽肉，作为主菜蛋白质。
崇武鱼卷,加餐,150,一份约150g，作为小吃,油炸,鲜香,待审核,组合组成项,蛋白质菜,鱼类,崇武鱼卷主要食材为鱼类，作为主菜蛋白质。
花生汤,加餐,250,一碗约250g，作为甜品,煮制,甜味,待审核,组合组成项,汤羹,坚果,花生汤主要食材为坚果，作为汤羹。
苏式汤面,午餐,350,一碗约350g,煮制,鲜香,待审核,整餐候选,主食,麦及制品,苏式汤面主要食材为麦及面制品，作为组合餐主食。
太平燕,午餐,300,一碗约300g,煮制,鲜香,待审核,组合组成项,混合主餐,畜肉|蛋类,太平燕主要食材为畜肉、蛋类，作为含主荤的混合主餐。
镇江肴肉,加餐,150,一份约150g，作为凉菜,其他,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,镇江肴肉主要食材为畜肉，作为主菜蛋白质。
五香卷,加餐,100,一份约100g，作为小吃,油炸,五香,待审核,组合组成项,其他配菜,大豆及豆制品,五香卷主要食材为大豆及豆制品，作为配菜/点心。
大煮干丝,晚餐,250,一份约250g,煮制,鲜香,待审核,组合组成项,蛋白质菜,大豆及豆制品,大煮干丝主要食材为大豆及豆制品，作为主菜蛋白质。
三丁包,早餐,150,一个约150g，作为早餐,蒸制,咸鲜,待审核,两者皆可,混合主餐,麦及制品,三丁包主要食材为麦及面制品，作为含主荤的混合主餐。
土笋冻,加餐,150,一份约150g，作为凉菜,其他,咸鲜,待审核,组合组成项,其他配菜,虾蟹贝类,土笋冻主要食材为虾蟹贝等海鲜，作为配菜/点心。
福州锅边糊,早餐,300,一碗约300g，作为早餐,煮制,鲜香,待审核,组合组成项,主食,米及制品,福州锅边糊主要食材为米及米制品，作为组合餐主食。
蟹黄汤包,午餐,200,一笼约200g（4只）,蒸制,鲜香,待审核,两者皆可,混合主餐,虾蟹贝类|麦及制品,蟹黄汤包主要食材为虾蟹贝等海鲜、麦及面制品，作为含主荤的混合主餐。
叫花鸡,晚餐,350,一份（整鸡），可食部分约350g,烤制,五香,待审核,组合组成项,蛋白质菜,禽肉,叫花鸡主要食材为禽肉，作为主菜蛋白质。
福鼎肉片,午餐,300,一碗约300g,煮制,鲜香,待审核,组合组成项,蛋白质菜,畜肉,福鼎肉片主要食材为畜肉，作为主菜蛋白质。
口味螺,加餐,200,一份约200g，作为小吃,炒制,香辣,待审核,组合组成项,蛋白质菜,虾蟹贝类,口味螺主要食材为虾蟹贝等海鲜，作为主菜蛋白质。
鸭血粉丝汤,午餐,400,一碗约400g（含汤）,煮制,鲜香,待审核,组合组成项,蛋白质菜,动物内脏|禽肉|薯类,鸭血粉丝汤主要食材为动物内脏、禽肉、薯类，作为主菜蛋白质。
无锡排骨,晚餐,250,一份，可食部分约250g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,无锡排骨主要食材为畜肉，作为主菜蛋白质。
腊肉炒萝卜干,晚餐,250,一份约250g,炒制,咸鲜,待审核,组合组成项,蛋白质菜,畜肉|根菜,腊肉炒萝卜干主要食材为畜肉、根茎类蔬菜，作为主菜蛋白质。
松鼠桂鱼,晚餐,300,一份（整鱼），可食部分约300g,油炸,酸甜,待审核,组合组成项,蛋白质菜,鱼类,松鼠桂鱼主要食材为鱼类，作为主菜蛋白质。
洞庭甲鱼,晚餐,300,一份，可食部分约300g,炖煮,鲜香,待审核,组合组成项,蛋白质菜,鱼类,洞庭甲鱼主要食材为菜名所示食材，作为主菜蛋白质。
土家合渣,晚餐,300,一份约300g,煮制,鲜香,待审核,组合组成项,蛋白质菜,大豆及豆制品,土家合渣主要食材为大豆及豆制品，作为主菜蛋白质。
扬州炒饭,午餐,350,一份约350g,炒制,咸鲜,待审核,两者皆可,混合主餐,米及制品|蛋类,扬州炒饭主要食材为米及米制品、蛋类，作为含主荤的混合主餐。
狮子头,晚餐,250,一个约250g,炖煮,咸鲜,待审核,组合组成项,蛋白质菜,畜肉,狮子头主要食材为畜肉，作为主菜蛋白质。
香辣牛蛙,晚餐,300,一份，可食部分约300g,炒制,香辣,待审核,组合组成项,蛋白质菜,畜肉,香辣牛蛙主要食材为畜肉，作为主菜蛋白质。
剁椒蒸茄子,午餐,250,一份约250g,蒸制,香辣,待审核,组合组成项,蔬菜菜肴,瓜茄类,剁椒蒸茄子主要食材为瓜茄类蔬菜，作为配菜蔬菜。
南京盐水鸭,晚餐,250,一份，可食部分约250g,煮制,咸鲜,待审核,组合组成项,蛋白质菜,禽肉,南京盐水鸭主要食材为禽肉，作为主菜蛋白质。
山东大包,早餐,200,一个约200g，作为早餐,蒸制,咸鲜,待审核,两者皆可,主食,麦及制品,山东大包主要食材为麦及面制品，作为组合餐主食。
酸豆角肉末,午餐,250,一份约250g,炒制,酸辣,待审核,组合组成项,蛋白质菜,畜肉,酸豆角肉末主要食材为畜肉，作为主菜蛋白质。
